Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,price_category
10,IdeaPad 320-15AST,3,0.4087716575222072,Full HD 1920x1080,8,-0.8621763211399812,128GB SSD,5,5,0.24242582200725737,0
0,Aspire 3,3,0.4087716575222072,1366x768,14,-0.8621763211399812,1TB HDD,17,5,0.09209943068976037,0
4,Inspiron 7577,1,0.4087716575222072,IPS Panel Full HD 1920x1080,102,1.4987674542268743,128GB SSD +  1TB HDD,76,5,0.9188945829359929,2
7,Pavilion 15-CK000nv,4,0.4087716575222072,IPS Panel Full HD 1920x1080,106,-0.07519506268436271,256GB SSD,85,5,-0.3137818258674812,1
7,250 G6,3,0.4087716575222072,Full HD 1920x1080,74,-0.07519506268436271,256GB SSD,53,5,-0.11835751715473544,0
2,FX503VM-E4007T (i7-7700HQ/16GB/1TB,1,0.4087716575222072,IPS Panel Full HD 1920x1080,102,1.4987674542268743,128GB SSD +  1TB HDD,79,5,0.24242582200725737,2
4,XPS 13,4,-1.2044068787278503,IPS Panel Full HD 1920x1080,106,-0.07519506268436271,256GB SSD,61,5,-1.245805452035962,2
2,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,1,0.4087716575222072,Full HD 1920x1080,24,-0.07519506268436271,1TB HDD,36,5,0.6182418003009996,1
0,Aspire 5,3,0.4087716575222072,Full HD 1920x1080,106,-0.07519506268436271,1TB HDD,98,5,0.24242582200725737,1
7,Probook 430,3,-1.2044068787278503,Full HD 1920x1080,106,1.4987674542268743,512GB SSD,61,5,-0.8248915563469708,1
4,Inspiron 7577,1,0.4087716575222072,Full HD 1920x1080,77,-0.07519506268436271,256GB SSD,79,5,0.9188945829359929,1
2,Zenbook UX430UA,4,-0.713439498130007,Full HD 1920x1080,97,-0.07519506268436271,256GB SSD,53,5,-1.185674895508963,1
0,Spin 5,0,-1.2044068787278503,IPS Panel Full HD / Touchscreen 1920x1080,83,-0.07519506268436271,256GB SSD,61,5,-0.809858917215221,1
4,Inspiron 3567,3,0.4087716575222072,Full HD 1920x1080,97,-0.07519506268436271,1TB HDD,24,2,0.24242582200725737,0
4,Inspiron 3567,3,0.4087716575222072,Full HD 1920x1080,56,-0.8621763211399812,256GB SSD,24,2,0.24242582200725737,0
2,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,3,0.4087716575222072,Full HD 1920x1080,59,-0.46868569191217196,256GB SSD,65,5,-0.058226960627736635,0
7,Omen 15-ce007nv,1,0.4087716575222072,IPS Panel Full HD 1920x1080,102,0.7117861957712558,128GB SSD +  1TB HDD,75,5,0.8737966655407442,1
7,15-bs017nv (i7-7500U/8GB/256GB/Radeon,3,0.4087716575222072,Full HD 1920x1080,97,-0.07519506268436271,256GB SSD,7,5,-0.19352071281348393,1
7,15-bw000nv (E2-9000e/4GB/500GB/Radeon,3,0.4087716575222072,Full HD 1920x1080,22,-0.8621763211399812,500GB HDD,12,5,0.09209943068976037,0
4,Inspiron 3576,3,0.4087716575222072,Full HD 1920x1080,83,-0.07519506268436271,1TB HDD,6,2,0.24242582200725737,1
7,Envy 13-ad009n,4,-1.2044068787278503,IPS Panel Full HD 1920x1080,97,-0.07519506268436271,256GB SSD,98,5,-0.9902505867962175,1
13,Surface Laptop,4,-1.064130484271324,Touchscreen 2256x1504,74,-0.07519506268436271,256GB SSD,53,6,-1.1826683676826133,2
7,Pavilion 14-BK001nv,3,-0.713439498130007,IPS Panel Full HD 1920x1080,74,-0.46868569191217196,256GB SSD,72,5,-0.6895978041612234,1
10,Ideapad 310-15ISK,3,0.4087716575222072,Full HD 1920x1080,56,-0.8621763211399812,1TB HDD,47,5,-0.2837165476039818,0
2,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,4,-0.713439498130007,IPS Panel Full HD 1920x1080,97,-0.07519506268436271,256GB SSD,72,5,-1.1105116998502147,1
